Date,Region,Product,Customer_Segment,Sales_Units,Unit_Price,Discount,Shipping_Cost,Profit_Margin,Returns,Revenue,Month
2023-10-31,North,Laptop,Corporate,11.0,513.41,0.0,34.16,0.24,0,5647.51,2023-10
2023-07-27,North,Smartphone,Consumer,11.0,149.59,0.1,5.83,0.23,0,1480.94,2023-07
2023-05-11,North,Desktop,Home Office,11.0,484.21,0.1,34.43,0.29,0,4793.68,2023-05
2023-06-01,East,Desktop,Consumer,11.0,522.12,0.05,32.84,0.25,1,5456.15,2023-06
2023-02-23,East,Smartphone,Home Office,11.0,935.7,0.15,18.94,0.11,0,8748.8,2023-02
2023-04-30,South,Desktop,Consumer,9.0,676.98,0.05,8.86,0.28,0,5788.18,2023-04
2023-06-10,South,Laptop,Home Office,9.0,380.49,0.05,9.09,0.27,0,3253.19,2023-06
2023-04-26,West,Laptop,Corporate,16.0,572.79,0.1,,0.19,0,8248.18,2023-04
2023-03-16,South,Smartphone,Home Office,10.0,159.45,0.05,,0.22,0,1514.78,2023-03
2023-04-23,North,Monitor,Consumer,11.0,975.31,0.0,10.72,0.3,0,10728.41,2023-04
2023-04-14,North,Tablet,Corporate,12.0,424.05,0.05,21.05,0.21,0,4834.17,2023-04
2023-12-06,East,Monitor,Home Office,12.0,530.08,0.05,,0.28,0,6042.91,2023-12
2023-09-11,North,Desktop,Home Office,9.0,419.76,0.1,42.6,0.12,0,3400.06,2023-09
2023-08-15,West,Tablet,Home Office,10.0,714.26,0.05,6.96,0.14,0,4071.28,2023-08
2023-04-22,North,Smartphone,Home Office,12.0,696.01,0.15,15.65,0.19,0,7099.3,2023-04
2023-04-09,North,Smartphone,Home Office,11.0,743.79,0.1,45.04,0.22,0,7363.52,2023-04
2023-06-02,West,Tablet,Corporate,6.0,341.33,0.05,5.41,0.26,0,1945.58,2023-06
2023-12-15,South,Laptop,Corporate,11.0,384.1,0.0,14.06,0.3,0,4225.1,2023-12
2023-12-04,South,Tablet,Corporate,12.0,212.73,0.0,48.16,0.18,0,2552.76,2023-12
2023-07-13,West,Desktop,Corporate,6.0,689.96,0.1,32.6,0.11,0,3725.78,2023-07
2023-11-06,East,Laptop,Consumer,13.0,135.82,0.1,16.78,0.26,0,1589.09,2023-11
2023-06-12,North,Smartphone,Corporate,10.0,637.91,0.05,8.01,0.22,0,6060.14,2023-06
2023-07-27,West,Tablet,Home Office,9.0,882.73,0.15,6.27,0.14,0,6752.88,2023-07
2023-06-18,North,Monitor,Home Office,11.0,901.75,0.05,16.01,0.2,0,9423.29,2023-06
2023-06-10,East,Monitor,Corporate,15.0,504.13,0.0,44.67,0.25,0,7561.95,2023-06
2023-03-09,North,Desktop,Home Office,11.0,513.37,0.15,,0.25,0,4800.01,2023-03
2023-10-16,West,Monitor,Corporate,3.0,169.27,0.15,37.42,0.2,0,431.64,2023-10
2023-10-04,North,Tablet,Home Office,9.0,703.69,0.15,46.32,0.16,0,5383.23,2023-10
2023-10-31,South,Tablet,Consumer,14.0,839.13,0.05,23.36,0.29,0,11160.43,2023-10
2023-05-15,East,Monitor,Consumer,14.0,320.19,0.0,13.61,0.23,0,4482.66,2023-05
2023-07-14,East,Tablet,Corporate,12.0,479.17,0.1,28.27,0.18,0,5175.04,2023-07
2023-05-08,East,Desktop,Corporate,10.0,854.96,0.05,45.86,0.16,0,8122.12,2023-05
2023-02-02,West,Laptop,Corporate,4.0,889.41,0.1,41.2,0.25,0,3201.88,2023-02
2023-06-25,East,Desktop,Home Office,16.0,318.86,0.15,7.96,0.15,1,4336.5,2023-06
2023-01-22,South,Desktop,Corporate,9.0,595.51,0.15,36.17,0.13,0,4555.65,2023-01
2023-08-26,West,Tablet,Consumer,7.0,273.24,0.05,30.74,0.21,0,1817.05,2023-08
2023-06-07,South,Laptop,Home Office,10.0,191.69,0.0,45.84,0.16,0,1916.9,2023-06
2023-02-07,North,Tablet,Corporate,5.0,920.01,0.15,10.51,0.23,0,3910.04,2023-02
2023-08-18,North,Smartphone,Home Office,9.0,838.46,0.1,29.03,0.12,0,6791.53,2023-08
2023-12-31,North,Tablet,Home Office,13.0,784.03,0.1,44.58,0.23,0,9173.15,2023-12
2023-02-20,North,Tablet,Corporate,8.0,143.89,0.05,,0.16,0,1093.56,2023-02
2023-09-21,South,Tablet,Home Office,6.0,859.36,0.1,,0.1,1,4640.54,2023-09
2023-10-10,West,Laptop,Consumer,9.0,494.24,0.0,8.17,0.13,0,4448.16,2023-10
2023-01-27,West,Tablet,Consumer,4.0,,0.15,17.52,0.29,0,1387.74,2023-01
2023-08-14,East,Laptop,Home Office,10.0,591.83,0.1,19.6,0.27,0,6924.41,2023-08
2023-10-04,South,Monitor,Corporate,10.0,182.22,0.1,47.53,0.15,1,1311.98,2023-10
2023-10-13,North,Smartphone,Home Office,6.0,780.98,0.15,17.72,0.26,0,3983.0,2023-10
2023-04-07,South,Laptop,Consumer,10.0,624.19,0.05,25.74,0.22,0,5929.8,2023-04
2023-10-11,East,Monitor,Home Office,11.0,267.93,0.1,35.21,0.29,0,2652.51,2023-10
2023-11-13,East,Laptop,Home Office,6.0,269.41,,12.3,0.17,0,1535.64,2023-11
2023-10-31,South,Laptop,Consumer,10.0,265.82,0.05,26.89,0.24,0,2525.29,2023-10
2023-05-27,South,Smartphone,Home Office,11.0,151.3,0.1,38.23,0.11,0,1497.87,2023-05
2023-01-04,South,Desktop,Home Office,10.0,629.02,0.0,44.01,0.18,0,6290.2,2023-01
2023-02-04,West,Desktop,Corporate,10.0,856.31,0.05,33.18,0.29,0,8134.94,2023-02
2023-07-11,North,Laptop,Corporate,13.0,115.75,0.1,35.11,0.21,0,1354.28,2023-07
2023-02-18,South,Tablet,Consumer,9.0,144.1,0.05,10.68,0.16,0,1232.05,2023-02
2023-01-17,South,Monitor,Consumer,12.0,615.49,0.15,47.56,0.12,0,6278.0,2023-01
2023-06-21,South,Tablet,Consumer,10.0,837.55,0.0,10.97,0.24,0,11725.7,2023-06
2023-08-08,East,Tablet,Corporate,10.0,394.07,0.0,39.86,0.23,1,3940.7,2023-08
2023-06-07,East,Laptop,Consumer,9.0,414.65,0.15,16.92,0.17,0,3172.07,2023-06
2023-02-15,West,Laptop,Consumer,10.0,636.71,0.15,47.01,0.29,0,5412.04,2023-02
2023-01-06,North,Laptop,Consumer,10.0,346.79,0.05,,0.1,0,3294.5,2023-01
2023-04-09,West,Laptop,Corporate,14.0,123.95,0.15,38.92,0.16,0,1475.0,2023-04
2023-08-21,North,Desktop,Home Office,14.0,761.71,0.0,14.86,0.28,0,10663.94,2023-08
2023-02-06,East,Laptop,Consumer,8.0,663.08,0.15,24.94,0.16,0,4508.94,2023-02
2023-10-07,East,Desktop,Home Office,13.0,622.68,0.1,,0.15,0,7285.36,2023-10
2023-12-15,East,Desktop,Consumer,6.0,767.52,0.1,39.65,0.21,0,4144.61,2023-12
2023-10-29,West,Laptop,Home Office,11.0,707.71,0.05,9.68,0.26,0,7395.57,2023-10
2023-06-30,South,Smartphone,Corporate,11.0,285.29,0.0,48.31,0.12,0,3138.19,2023-06
2023-04-05,South,Monitor,Corporate,10.0,417.23,0.1,45.06,0.29,0,3755.07,2023-04
2023-04-09,East,Tablet,Consumer,12.0,213.5,0.15,17.17,0.26,0,2177.7,2023-04
2023-07-07,South,Desktop,Home Office,11.0,216.87,0.1,42.02,0.14,0,2147.01,2023-07
2023-04-26,South,Monitor,Corporate,8.0,708.58,0.1,28.32,0.24,0,5101.78,2023-04
2023-07-10,West,Smartphone,Consumer,7.0,872.74,0.05,25.78,0.18,0,5803.72,2023-07
2023-09-10,North,Tablet,Consumer,6.0,966.46,0.15,19.15,0.18,0,4928.95,2023-09
2023-06-10,East,Tablet,Corporate,13.0,665.51,0.15,31.14,0.26,0,7353.89,2023-06
2023-09-13,East,Desktop,Corporate,5.0,265.69,0.15,37.85,0.29,0,1129.18,2023-09
2023-11-19,West,Laptop,Consumer,6.0,195.09,0.05,23.49,0.13,0,1112.01,2023-11
2023-05-08,West,Smartphone,Home Office,7.0,831.57,0.15,33.31,0.18,0,4947.84,2023-05
2023-01-18,South,Desktop,Home Office,14.0,620.88,0.15,36.47,0.2,0,7388.47,2023-01
2023-10-08,East,Smartphone,Home Office,8.0,656.46,0.1,37.0,0.18,1,4726.51,2023-10
2023-08-11,North,Laptop,Consumer,11.0,803.32,0.1,7.34,0.17,0,7952.87,2023-08
2023-02-23,West,Laptop,Corporate,6.0,732.95,0.15,43.69,0.11,0,3738.05,2023-02
2023-02-27,North,Desktop,Consumer,8.0,851.01,0.0,25.62,0.24,0,6808.08,2023-02
2023-11-19,North,Laptop,Corporate,7.0,150.59,0.0,16.81,0.19,0,1054.13,2023-11
2023-12-26,East,Monitor,Home Office,15.0,772.77,0.15,15.88,0.14,0,9852.82,2023-12
2023-06-23,East,Tablet,Home Office,10.0,865.77,0.0,26.74,0.26,0,8657.7,2023-06
2023-10-07,West,Desktop,Corporate,6.0,357.52,0.05,44.91,0.26,0,2037.86,2023-10
2023-04-24,East,Smartphone,Corporate,9.0,,0.1,22.03,0.2,0,5478.84,2023-04
2023-10-15,East,Monitor,Consumer,9.0,382.75,0.05,38.74,0.16,0,3272.51,2023-10
2023-12-08,East,Desktop,Home Office,6.0,962.17,0.1,,0.23,0,5195.72,2023-12
2023-05-31,North,Laptop,Consumer,7.0,130.08,0.0,26.42,0.16,0,910.56,2023-05
2023-05-07,West,Laptop,Consumer,10.0,621.81,0.0,49.63,0.15,0,6218.1,2023-05
2023-06-04,South,Laptop,Consumer,15.0,249.85,0.15,39.67,0.25,0,3185.59,2023-06
2023-09-30,North,Laptop,Home Office,10.0,741.0,0.0,14.47,0.11,0,7410.0,2023-09
2023-04-14,East,Smartphone,Consumer,9.0,258.3,0.0,27.56,0.12,0,2324.7,2023-04
2023-10-26,North,Monitor,Consumer,6.0,311.84,0.15,15.51,0.1,0,1590.38,2023-10
2023-09-03,East,Tablet,Consumer,9.0,544.93,0.15,23.43,0.13,0,4168.71,2023-09
2023-06-25,East,Smartphone,Consumer,5.0,923.35,0.1,40.1,0.11,0,4155.08,2023-06
2023-02-08,North,Smartphone,Consumer,8.0,290.54,0.0,39.71,0.3,0,2324.32,2023-02
2023-06-19,West,Tablet,Consumer,9.0,229.82,0.1,15.26,0.16,0,1861.54,2023-06
2023-09-04,East,Tablet,Home Office,9.0,783.08,0.1,46.5,0.13,0,6342.95,2023-09
2023-01-26,West,Laptop,Consumer,6.0,550.56,0.05,31.67,0.15,0,3138.19,2023-01
2023-12-21,South,Smartphone,Corporate,7.0,920.61,,22.1,0.29,0,6444.27,2023-12
2023-11-02,East,Desktop,Consumer,9.0,231.95,0.0,27.59,0.2,1,2087.55,2023-11
2023-01-13,West,Tablet,Consumer,10.0,681.34,0.05,32.23,0.17,0,6472.73,2023-01
2023-11-12,West,Tablet,Home Office,10.0,309.59,0.1,30.2,0.27,0,1950.42,2023-11
2023-11-09,South,Monitor,Home Office,8.0,241.08,0.0,26.89,0.18,0,1928.64,2023-11
2023-02-05,West,Desktop,Corporate,12.0,715.09,,27.72,0.17,0,7722.97,2023-02
2023-06-22,West,Desktop,Corporate,14.0,634.32,0.05,12.94,0.14,0,8436.46,2023-06
2023-01-20,South,Tablet,Home Office,8.0,779.34,0.15,41.57,0.18,0,5299.51,2023-01
2023-11-17,East,Laptop,Home Office,18.0,378.52,0.1,29.38,0.16,0,6132.02,2023-11
2023-09-21,West,Monitor,Consumer,12.0,503.17,0.0,10.9,0.24,0,6038.04,2023-09
2023-05-22,West,Desktop,Home Office,8.0,464.92,0.15,39.48,0.16,1,3161.46,2023-05
2023-05-23,West,Tablet,Corporate,4.0,985.68,0.1,46.96,0.22,0,3548.45,2023-05
2023-04-02,North,Desktop,Consumer,7.0,363.02,0.1,47.63,0.11,0,2287.03,2023-04
2023-12-20,South,Monitor,Corporate,7.0,365.34,0.15,21.61,0.14,0,2173.77,2023-12
2023-11-18,North,Monitor,Consumer,10.0,419.09,0.15,11.1,0.18,0,5699.62,2023-11
2023-10-15,South,Smartphone,Home Office,5.0,608.13,0.15,28.33,0.29,0,2584.55,2023-10
2023-08-03,East,Tablet,Corporate,11.0,327.09,0.0,10.07,0.18,0,3597.99,2023-08
2023-12-08,East,Monitor,Consumer,19.0,,0.0,47.03,0.23,0,17551.44,2023-12
2023-02-20,West,Smartphone,Consumer,10.0,339.12,0.1,13.26,0.15,0,3052.08,2023-02
2023-06-02,South,Smartphone,Home Office,10.0,906.23,0.1,16.37,0.13,0,8156.07,2023-06
2023-07-05,East,Desktop,Home Office,13.0,193.13,0.05,23.3,0.11,0,2385.16,2023-07
2023-03-04,South,Desktop,Home Office,3.0,690.91,0.0,22.24,0.16,0,2072.73,2023-03
2023-07-09,East,Smartphone,Corporate,7.0,916.29,0.1,40.76,0.13,0,5772.63,2023-07
2023-05-05,North,Desktop,Consumer,9.0,251.87,0.15,25.53,0.13,0,1926.81,2023-05
2023-05-30,East,Monitor,Home Office,15.0,971.49,0.15,12.68,0.25,0,12386.5,2023-05
2023-11-10,North,Laptop,Corporate,12.0,507.6,0.0,17.02,0.1,0,6091.2,2023-11
2023-02-27,East,Monitor,Corporate,7.0,951.14,0.15,27.91,0.21,0,5659.28,2023-02
2023-12-08,West,Smartphone,Corporate,8.0,709.14,0.05,11.64,0.18,0,5389.46,2023-12
2023-11-01,North,Smartphone,Home Office,14.0,371.43,0.1,32.52,0.2,0,4680.02,2023-11
2023-06-29,East,Monitor,Home Office,12.0,269.47,0.1,30.46,0.21,0,2910.28,2023-06
2023-06-19,West,Desktop,Consumer,8.0,373.36,,37.16,0.16,0,2688.19,2023-06
2023-11-22,North,Desktop,Consumer,10.0,183.72,0.0,47.2,0.16,0,1469.76,2023-11
2023-09-28,West,Smartphone,Home Office,9.0,229.48,0.15,46.05,0.25,0,1755.52,2023-09
2023-02-23,South,Tablet,Corporate,5.0,194.19,0.05,47.57,0.27,0,922.4,2023-02
2023-04-11,South,Desktop,Corporate,15.0,480.65,0.0,16.01,0.14,0,7209.75,2023-04
2023-09-21,North,Monitor,Corporate,12.0,816.02,,10.92,0.12,0,8813.02,2023-09
2023-02-22,East,Desktop,Consumer,11.0,227.25,0.05,18.6,0.28,0,2374.76,2023-02
2023-03-01,North,Monitor,Corporate,15.0,217.29,0.1,45.28,0.17,0,2933.42,2023-03
2023-04-18,West,Smartphone,Consumer,8.0,679.09,0.1,48.74,0.21,0,4889.45,2023-04
2023-01-05,East,Desktop,Consumer,5.0,277.46,0.0,43.67,0.17,0,1387.3,2023-01
2023-04-13,South,Monitor,Corporate,10.0,187.85,0.1,9.95,0.13,0,1690.65,2023-04
2023-07-15,East,Smartphone,Corporate,4.0,250.16,0.05,47.63,0.22,0,950.61,2023-07
2023-09-19,South,Tablet,Home Office,12.0,931.36,0.1,24.05,0.21,0,10058.69,2023-09
2023-12-31,East,Monitor,Home Office,11.0,839.32,0.15,5.42,0.14,0,7847.64,2023-12
2023-12-16,East,Tablet,Corporate,5.0,418.66,0.1,24.91,0.19,0,1883.97,2023-12
2023-02-16,East,Tablet,Consumer,11.0,690.24,0.0,7.07,0.26,0,7592.64,2023-02
2023-12-21,West,Laptop,Consumer,16.0,583.55,0.05,29.47,0.22,0,8869.96,2023-12
2023-11-07,West,Desktop,Consumer,19.0,709.41,0.0,20.23,0.12,0,13478.79,2023-11
2023-11-04,North,Monitor,Consumer,8.0,714.4,0.15,26.3,0.21,0,4857.92,2023-11
2023-05-24,North,Tablet,Consumer,10.0,665.86,0.1,32.59,0.24,0,5992.74,2023-05
2023-09-26,South,Laptop,Home Office,11.0,339.49,0.0,44.1,0.26,0,3734.39,2023-09
2023-05-04,West,Smartphone,Corporate,11.0,135.11,0.0,34.79,0.23,0,1486.21,2023-05
2023-04-16,South,Monitor,Home Office,10.0,510.01,0.0,24.53,0.13,0,5100.1,2023-04
2023-06-07,North,Tablet,Consumer,9.0,901.88,,41.87,0.24,0,8116.92,2023-06
2023-05-27,South,Desktop,Consumer,10.0,612.55,0.15,45.75,0.24,0,4165.34,2023-05
2023-05-25,North,Laptop,Consumer,5.0,849.15,0.15,10.39,0.1,0,3608.89,2023-05
2023-04-30,West,Tablet,Consumer,10.0,992.46,0.1,,0.18,0,8932.14,2023-04
2023-11-15,East,Desktop,Corporate,7.0,247.25,0.1,17.8,0.17,0,1557.68,2023-11
2023-10-02,West,Tablet,Consumer,9.0,722.6,0.05,7.12,0.23,0,6178.23,2023-10
2023-04-02,South,Monitor,Corporate,12.0,706.86,0.15,35.08,0.14,0,7209.97,2023-04
2023-02-27,South,Monitor,Consumer,9.0,981.96,0.0,43.82,0.22,0,8837.64,2023-02
2023-12-12,West,Monitor,Corporate,11.0,987.04,0.0,12.33,0.28,0,10857.44,2023-12
2023-08-17,West,Laptop,Home Office,4.0,718.01,0.05,41.56,0.26,0,2728.44,2023-08
2023-04-27,North,Monitor,Consumer,16.0,319.25,,43.4,0.28,0,5108.0,2023-04
2023-11-14,South,Desktop,Corporate,4.0,818.7,0.05,46.15,0.3,0,3111.06,2023-11
2023-10-06,South,Tablet,Home Office,10.0,196.33,0.1,16.94,0.1,0,1766.97,2023-10
2023-05-07,West,Smartphone,Consumer,11.0,802.63,0.15,45.68,0.22,0,7504.59,2023-05
2023-05-09,East,Desktop,Consumer,7.0,919.18,0.05,19.43,0.18,0,6112.55,2023-05
2023-02-27,South,Desktop,Consumer,9.0,444.55,0.0,29.86,0.27,0,4000.95,2023-02
2023-05-02,East,Monitor,Corporate,12.0,667.57,0.05,,0.15,0,7610.3,2023-05
2023-01-01,West,Laptop,Corporate,4.0,487.13,0.1,6.97,0.3,0,1753.67,2023-01
2023-08-27,West,Tablet,Home Office,10.0,493.99,0.0,37.42,0.22,0,3457.93,2023-08
2023-10-17,North,Laptop,Corporate,13.0,379.33,0.1,25.0,0.26,0,4438.16,2023-10
2023-04-06,South,Tablet,Corporate,9.0,785.92,0.1,16.53,0.12,0,6365.95,2023-04
2023-05-06,East,Tablet,Consumer,14.0,942.56,0.05,13.57,0.14,0,12536.05,2023-05
2023-04-28,North,Laptop,Consumer,7.0,946.68,0.1,35.15,0.25,0,5964.08,2023-04
2023-02-17,South,Desktop,Consumer,11.0,257.3,,5.02,0.1,0,2830.3,2023-02
2023-03-30,North,Tablet,Consumer,9.0,887.27,0.1,41.27,0.26,0,7186.89,2023-03
2023-08-25,West,Laptop,Consumer,10.0,763.69,0.1,8.57,0.1,0,6873.21,2023-08
2023-09-29,South,Tablet,Consumer,9.0,327.55,0.05,13.62,0.23,0,2800.55,2023-09
2023-07-08,North,Smartphone,Consumer,13.0,,,22.38,0.17,0,1878.55,2023-07
2023-07-11,North,Desktop,Home Office,14.0,341.2,0.15,26.82,0.22,0,4060.28,2023-07
2023-03-10,East,Monitor,Home Office,14.0,920.99,0.05,20.97,0.24,0,12249.17,2023-03
2023-10-05,North,Tablet,Home Office,9.0,669.86,0.05,19.43,0.17,0,5727.3,2023-10
2023-12-15,South,Smartphone,Home Office,10.0,748.95,0.0,48.38,0.12,0,7489.5,2023-12
2023-09-04,South,Monitor,Consumer,8.0,331.44,0.0,33.87,0.11,0,2651.52,2023-09
2023-03-17,East,Monitor,Home Office,8.0,747.45,0.0,6.05,0.22,0,5979.6,2023-03
2023-06-03,South,Tablet,Consumer,8.0,125.31,0.0,24.36,0.2,0,1002.48,2023-06
2023-05-24,West,Laptop,Home Office,9.0,437.79,0.15,,0.25,0,3349.09,2023-05
2023-03-27,South,Tablet,Corporate,8.0,664.08,,18.57,0.2,0,5047.01,2023-03
2023-07-04,South,Smartphone,Home Office,9.0,,0.1,9.26,0.18,0,1875.07,2023-07
2023-10-12,North,Monitor,Home Office,12.0,840.7,0.0,39.13,0.18,0,10088.4,2023-10
2023-08-08,North,Tablet,Consumer,6.0,311.53,0.0,32.27,0.11,0,1869.18,2023-08
2023-03-10,South,Laptop,Home Office,7.0,687.05,0.0,30.66,0.17,0,4809.35,2023-03
2023-02-16,East,Tablet,Corporate,7.0,464.68,0.1,7.41,0.3,0,2927.48,2023-02
2023-04-04,North,Desktop,Consumer,10.0,636.44,0.0,11.32,0.27,0,6364.4,2023-04
2023-08-26,East,Laptop,Consumer,6.0,196.71,0.1,33.01,0.17,0,1062.23,2023-08
2023-07-23,South,Smartphone,Home Office,9.0,115.22,0.05,14.35,0.22,0,985.13,2023-07
2023-08-06,South,Monitor,Consumer,15.0,918.61,0.05,27.68,0.27,0,13090.19,2023-08
2023-12-07,West,Tablet,Consumer,9.0,342.67,0.05,29.52,0.19,0,2929.83,2023-12
2023-02-08,North,Laptop,Consumer,11.0,837.71,0.15,17.76,0.1,0,7832.59,2023-02
2023-04-10,South,Desktop,Consumer,7.0,999.42,0.1,47.68,0.11,0,6296.35,2023-04
2023-10-16,West,Laptop,Consumer,6.0,290.29,0.0,42.91,0.2,0,1741.74,2023-10
2023-09-11,North,Desktop,Consumer,9.0,,0.0,37.51,0.29,0,3047.85,2023-09
2023-08-10,South,Smartphone,Corporate,9.0,696.57,0.0,8.51,0.24,0,6269.13,2023-08
2023-12-23,South,Monitor,Home Office,11.0,968.9,0.0,9.78,0.11,0,10657.9,2023-12
2023-01-23,North,Smartphone,Corporate,13.0,924.23,0.15,27.18,0.14,0,10212.74,2023-01
2023-09-07,North,Tablet,Consumer,10.0,552.59,0.0,12.23,0.25,0,5525.9,2023-09
2023-01-10,North,Laptop,Consumer,12.0,815.6,0.15,49.02,0.27,0,8319.12,2023-01
2023-09-03,South,Desktop,Home Office,15.0,222.17,0.1,12.13,0.22,0,2999.29,2023-09
2023-11-21,South,Desktop,Corporate,10.0,979.69,0.05,26.94,0.23,0,9307.06,2023-11
2023-04-10,West,Laptop,Home Office,9.0,967.92,0.0,21.39,0.11,0,8711.28,2023-04
2023-10-17,East,Laptop,Corporate,13.0,247.36,0.05,33.77,0.27,0,3054.9,2023-10
2023-06-29,North,Tablet,Consumer,7.0,369.48,0.1,10.81,0.26,0,2327.72,2023-06
2023-08-11,South,Smartphone,Home Office,16.0,190.14,0.1,24.36,0.15,0,2738.02,2023-08
2023-09-07,South,Desktop,Home Office,9.0,344.55,0.0,17.36,0.24,0,3100.95,2023-09
2023-05-27,North,Tablet,Consumer,14.0,834.36,0.1,44.95,0.14,0,10512.94,2023-05
2023-04-06,East,Smartphone,Home Office,7.0,440.48,0.05,,0.11,0,2929.19,2023-04
2023-09-14,North,Tablet,Corporate,9.0,179.56,0.0,46.12,0.14,0,1616.04,2023-09
2023-11-21,East,Desktop,Corporate,10.0,408.0,0.15,42.48,0.14,0,3121.2,2023-11
2023-01-04,South,Laptop,Corporate,6.0,983.25,0.0,18.39,0.17,0,5899.5,2023-01
2023-01-16,East,Laptop,Corporate,10.0,666.72,0.05,40.52,0.18,0,3800.3,2023-01
2023-10-07,West,Smartphone,Consumer,8.0,474.54,0.0,6.4,0.2,0,3796.32,2023-10
2023-12-02,South,Monitor,Home Office,10.0,249.88,0.0,48.51,0.2,0,2248.92,2023-12
2023-09-04,West,Smartphone,Corporate,3.0,987.56,0.05,28.7,0.15,0,2814.55,2023-09
2023-09-15,North,Monitor,Consumer,9.0,838.76,0.0,18.65,0.11,0,7548.84,2023-09
2023-06-09,North,Tablet,Home Office,7.0,353.33,0.0,21.32,0.22,0,2473.31,2023-06
2023-12-06,North,Tablet,Home Office,15.0,163.06,0.05,7.99,0.18,0,2323.6,2023-12
2023-06-01,East,Desktop,Consumer,7.0,150.96,0.1,,0.16,0,951.05,2023-06
2023-06-27,South,Monitor,Consumer,7.0,208.34,0.05,6.77,0.27,0,1385.46,2023-06
2023-06-12,North,Desktop,Corporate,13.0,622.69,0.0,34.47,0.25,0,8094.97,2023-06
2023-02-02,North,Laptop,Home Office,13.0,,0.15,24.92,0.27,0,10341.58,2023-02
2023-06-28,South,Monitor,Home Office,6.0,547.07,0.15,47.7,0.2,0,2790.06,2023-06
2023-04-11,North,Smartphone,Consumer,9.0,858.65,0.05,16.07,0.13,0,7341.46,2023-04
2023-09-25,West,Laptop,Home Office,8.0,501.3,0.15,28.94,0.24,0,3408.84,2023-09
2023-11-19,South,Laptop,Corporate,13.0,737.73,0.0,26.71,0.14,0,9590.49,2023-11
2023-03-06,South,Smartphone,Home Office,8.0,758.69,0.0,36.63,0.19,0,6069.52,2023-03
2023-06-17,South,Laptop,Consumer,11.0,256.57,0.05,8.06,0.11,0,2681.16,2023-06
2023-11-26,West,Monitor,Consumer,9.0,425.09,0.0,13.72,0.27,0,3825.81,2023-11
2023-02-12,South,Desktop,Corporate,10.0,673.57,0.1,14.66,0.13,0,6062.13,2023-02
2023-02-13,West,Laptop,Corporate,7.0,163.63,0.0,38.22,0.28,0,1145.41,2023-02
2023-10-12,South,Monitor,Home Office,5.0,425.39,0.05,13.51,0.27,0,2020.6,2023-10
2023-01-12,East,Tablet,Home Office,14.0,581.32,0.1,30.81,0.19,0,7324.63,2023-01
2023-04-05,North,Monitor,Consumer,12.0,996.6,0.1,14.69,0.25,0,10763.28,2023-04
2023-10-29,East,Desktop,Corporate,11.0,527.08,0.15,43.77,0.22,0,4928.2,2023-10
2023-09-10,North,Monitor,Corporate,11.0,834.45,0.0,47.4,0.26,0,9178.95,2023-09
2023-08-30,West,Smartphone,Corporate,8.0,488.86,0.05,28.33,0.19,0,3715.34,2023-08
2023-02-04,East,Desktop,Home Office,7.0,816.75,0.15,20.85,0.26,0,4859.66,2023-02
2023-08-03,South,Tablet,Corporate,7.0,635.87,0.15,15.53,0.19,0,3783.43,2023-08
2023-12-03,North,Smartphone,Consumer,10.0,897.94,0.0,7.24,0.29,0,10775.28,2023-12
2023-03-31,North,Monitor,Consumer,4.0,469.85,0.0,17.08,0.2,1,1879.4,2023-03
2023-09-21,East,Desktop,Home Office,11.0,643.87,0.05,34.44,0.19,0,6728.44,2023-09
2023-04-03,West,Tablet,Home Office,8.0,667.02,0.15,29.01,0.26,0,4535.74,2023-04
2023-03-31,East,Smartphone,Corporate,16.0,475.64,0.05,47.48,0.26,0,7229.73,2023-03
2023-04-25,West,Tablet,Home Office,10.0,229.88,,22.83,0.21,0,1953.98,2023-04
2023-04-15,West,Monitor,Consumer,5.0,184.2,0.15,36.22,0.14,0,782.85,2023-04
2023-07-15,North,Tablet,Corporate,9.0,,0.15,27.02,0.19,0,879.75,2023-07
2023-11-10,East,Laptop,Consumer,6.0,886.18,,28.07,0.29,0,5317.08,2023-11
2023-04-24,East,Smartphone,Corporate,11.0,312.83,0.15,17.05,0.25,1,2924.96,2023-04
2023-03-16,West,Tablet,Home Office,10.0,290.36,0.15,25.47,0.26,0,2468.06,2023-03
2023-08-05,East,Monitor,Corporate,5.0,762.43,0.15,26.19,0.11,0,3240.33,2023-08
2023-10-04,South,Monitor,Corporate,9.0,388.01,0.1,36.8,0.19,0,3142.88,2023-10
2023-09-06,South,Tablet,Consumer,12.0,555.44,,47.33,0.23,0,6665.28,2023-09
2023-06-13,East,Monitor,Consumer,10.0,246.26,0.1,19.82,0.27,0,2216.34,2023-06
2023-12-23,East,Desktop,Corporate,12.0,963.77,0.0,6.9,0.11,0,11565.24,2023-12
2023-07-11,West,Desktop,Home Office,17.0,,0.05,27.33,0.27,0,13992.68,2023-07
2023-08-15,South,Desktop,Home Office,7.0,877.41,0.1,29.5,0.21,0,5527.68,2023-08
2023-06-26,South,Laptop,Consumer,11.0,466.1,0.05,12.58,0.14,0,4870.74,2023-06
2023-04-09,North,Tablet,Home Office,8.0,786.13,,39.22,0.16,0,5345.68,2023-04
2023-02-05,West,Laptop,Consumer,10.0,229.49,0.05,49.32,0.16,0,2180.16,2023-02
2023-04-06,North,Monitor,Home Office,6.0,107.76,0.05,47.56,0.21,0,614.23,2023-04
